
OccupationCode|EducationLevel
35-3023.01|High School Diploma - or the equivalent (for example, GED)
35-3023.01|Less than a High School Diploma
35-3023.01|Some College Courses
35-3031.00|Bachelor's Degree
35-3031.00|High School Diploma - or the equivalent (for example, GED)
35-3031.00|Less than a High School Diploma
35-3031.00|Some College Courses
35-3041.00|Bachelor's Degree
35-3041.00|High School Diploma - or the equivalent (for example, GED)
35-3041.00|Less than a High School Diploma
35-3041.00|Post-Doctoral Training
35-3041.00|Some College Courses
35-9011.00|High School Diploma - or the equivalent (for example, GED)
35-9011.00|Less than a High School Diploma
35-9021.00|High School Diploma - or the equivalent (for example, GED)
35-9021.00|Less than a High School Diploma
35-9031.00|Bachelor's Degree
35-9031.00|High School Diploma - or the equivalent (for example, GED)
35-9031.00|Less than a High School Diploma
37-1011.00|Associate's Degree (or other 2-year degree)
37-1011.00|Bachelor's Degree
37-1011.00|High School Diploma - or the equivalent (for example, GED)
37-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
37-1011.00|Some College Courses
37-1012.00|Associate's Degree (or other 2-year degree)
37-1012.00|Bachelor's Degree
37-1012.00|High School Diploma - or the equivalent (for example, GED)
37-1012.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
37-1012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
37-1012.00|Some College Courses
37-2011.00|Bachelor's Degree
37-2011.00|High School Diploma - or the equivalent (for example, GED)
37-2011.00|Less than a High School Diploma
37-2012.00|Bachelor's Degree
37-2012.00|High School Diploma - or the equivalent (for example, GED)
37-2012.00|Less than a High School Diploma
37-2012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
37-2021.00|High School Diploma - or the equivalent (for example, GED)
37-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
37-3011.00|Bachelor's Degree
37-3011.00|High School Diploma - or the equivalent (for example, GED)
37-3011.00|Less than a High School Diploma
37-3011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
37-3012.00|Bachelor's Degree
37-3012.00|High School Diploma - or the equivalent (for example, GED)
37-3012.00|Less than a High School Diploma
37-3012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
37-3013.00|High School Diploma - or the equivalent (for example, GED)
37-3013.00|Less than a High School Diploma
39-1013.00|Associate's Degree (or other 2-year degree)
39-1013.00|Bachelor's Degree
39-1013.00|High School Diploma - or the equivalent (for example, GED)
39-1013.00|Less than a High School Diploma
39-1013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
39-1013.00|Some College Courses
39-1022.00|Associate's Degree (or other 2-year degree)
39-1022.00|Bachelor's Degree
39-1022.00|High School Diploma - or the equivalent (for example, GED)
39-1022.00|Less than a High School Diploma
39-1022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
39-2011.00|Associate's Degree (or other 2-year degree)
39-2011.00|High School Diploma - or the equivalent (for example, GED)
39-2011.00|Less than a High School Diploma
39-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
39-2011.00|Some College Courses
39-2021.00|Associate's Degree (or other 2-year degree)
39-2021.00|Bachelor's Degree
39-2021.00|High School Diploma - or the equivalent (for example, GED)
39-2021.00|Less than a High School Diploma
39-3011.00|High School Diploma - or the equivalent (for example, GED)
